Lini Jasa,Nama Jasa (Marketing),Nama Global (Marketing),Produk Asli (Internal),Deskripsi Singkat (Sales Pitch)
PROACTIVE DEFENSE SUITE,Intelijen Aset Kritis Mingguan,Weekly Critical Asset Brief,1. Laporan Prioritas CVE Mingguan,Dapatkan laporan 1 halaman yang merinci kerentanan paling relevan yang berdampak langsung pada teknologi Anda. Kami memfilter 99% noise.
PROACTIVE DEFENSE SUITE,"Layanan Triase ""Exploit-in-the-Wild""",Live Exploit Triage Service,"5. Laporan Relevansi ""Exploit-in-the-Wild""","Saat eksploitasi baru (seperti CISA KEV) diumumkan, kami akan menganalisis dampaknya terhadap aset Anda & mengirimkan peringatan prioritas dalam hitungan jam."
PROACTIVE DEFENSE SUITE,Audit Kesenjangan Patch (Patch Gap Audit),Patch Gap Audit Service,3. Analisis Kesenjangan Patch (Patch Gap),"Kami membandingkan data pemindai kerentanan Anda dengan data manajemen patch Anda untuk menemukan ""celah"" paling berisiko yang terlewatkan oleh tim Anda."
PROACTIVE DEFENSE SUITE,Delta Intel: Analisis CVE Mendesak,Delta Intel: On-Demand CVE Analysis,"2. Jasa ""Tanya CVE"" Sesuai Permintaan","Punya CVE yang membuat Anda khawatir? Kirimkan kepada kami. Dalam 30 menit, Anda akan mendapatkan ringkasan ringkas dan langkah mitigasi yang divalidasi pakar."
PROACTIVE DEFENSE SUITE,Layanan Pemantauan Domain (Phish-Guard),Phish-Guard Domain Monitoring,9. Pemantauan Domain Phishing,"Kami secara proaktif memburu domain typosquatting dan phishing yang meniru brand Anda, sebelum domain tersebut digunakan untuk menyerang pelanggan Anda."
ACTIVE INTELLIGENCE SUITE,Ekstraksi Intelijen Laporan (Report Deconstruction),Threat Report Deconstruction,7. Analisis Laporan Ancaman (Threat Report),"Kirimkan kami laporan ancaman PDF (Mandiant, dsb.) 50 halaman. Kami akan ""membedahnya"" menjadi daftar IoC & TTP yang tervalidasi dan siap pakai."
ACTIVE INTELLIGENCE SUITE,"Validasi Ancaman ""Trinity"" (3-in-1)",Trinity Threat Validation (3-in-1),"22. Paket ""Validasi Ancaman Cepat""","Hemat waktu Anda. Kirimkan 1 IP, 1 Hash, atau 1 CVE. Kami akan melakukan validasi silang (multi-alat + AI) dan memberi Anda skor risiko ""Tinggi/Sedang/Rendah""."
ACTIVE INTELLIGENCE SUITE,Layanan Validasi IoC Massal,Bulk IoC Validation Service,6. Pemindaian IoC Massal Sesuai Permintaan,"Jangan buang waktu memvalidasi ribuan IoC satu per satu. Kirimkan file .txt Anda, kami akan memprosesnya & mengembalikan CSV yang diperkaya data reputasi."
ACTIVE INTELLIGENCE SUITE,"Buletin Intelijen ""The Signal""",The Signal: Curated Intel Bulletin,8. Feed Intelijen Ancaman Terkurasi,Langganan mingguan. Kami menyaring ribuan sumber noise untuk memberi Anda 10-15 IoC paling relevan & berisiko tinggi yang telah kami validasi secara independen.
ACTIVE INTELLIGENCE SUITE,Analisis Vektor Serangan Email (Phish-Sight),Phish-Sight: Email Attack Analysis,11. Analisis Log Phishing (per .eml),"Curiga dengan email phishing? Teruskan kepada kami. Kami akan melakukan analisis forensik pada header & URL, serta memberi Anda laporan risiko lengkap."
"""AI-READY"" DATA REFINERY","Jasa ""AI-Ready"" Data Refinery","""AI-Ready"" Data Refinery Service",15. Jasa Pembersihan & Normalisasi Log,"Data log atau aset Anda berantakan? Kami membersihkan, menormalkan, dan mendeduplikasi data Anda (Excel/CSV) sehingga siap untuk diimpor ke SIEM atau platform AI."
"""AI-READY"" DATA REFINERY",Audit Anomali Akses (Access Anomaly Audit),Access Anomaly Audit,12. & 13. Analisis Log VPN / Firewall,"Kirimkan log VPN atau Firewall Anda. Kami akan menggunakan analisis data untuk menemukan pola akses yang mencurigakan (login aneh, beaconing) yang terlewatkan oleh aturan standar."
"""AI-READY"" DATA REFINERY",Jasa Konversi Laporan (JSON-to-PDF),Report Converter (JSON-to-PDF/CSV),24. Konverter Laporan (JSON ke CSV ke PDF),Punya output API dalam format JSON yang rumit? Kami akan mengubahnya menjadi laporan PDF eksekutif atau CSV yang rapi dan mudah dibaca oleh manajemen.
"""AI-READY"" DATA REFINERY",Jasa Penerjemah Aturan SIEM,SIEM Rule Translator Service,17. Migrasi Aturan SIEM (dari Splunk ke Sentinel),"Migrasi dari Splunk ke Sentinel? Kirimkan aturan Splunk lama Anda. Kami menggunakan AI (divalidasi pakar) untuk menerjemahkannya ke format KQL, menghemat waktu migrasi Anda."
STRATEGIC CLARITY SUITE,Ringkasan Strategis Keamanan (Executive Clarity Brief),Executive Security Brief,18. Laporan Eksekutif Keamanan Bulanan,"Jasa retainer bulanan. Kami mengambil data mentah Anda (kerentanan, log, aset) dan menyusun laporan 1 halaman yang ringkas untuk CISO/Manajemen."
STRATEGIC CLARITY SUITE,Layanan Narasi Insiden (Post-Mortem),Incident Post-Mortem Narrative Service,21. Pembuatan Narasi Insiden (Post-Mortem),"Setelah insiden, kirimkan timeline teknis Anda. Kami akan mengubah log & catatan mentah menjadi narasi post-mortem yang profesional dan siap disajikan."
STRATEGIC CLARITY SUITE,Ringkasan Risiko Vendor (Vendor Trust Synopsis),Vendor Risk Synopsis Service,25. Jasa Analisis Risiko Vendor (Ringkasan),"Jangan baca laporan SOC2 80 halaman. Kirimkan kepada kami, dan kami akan menggunakan AI untuk mengekstrak & meringkas poin kontrol, risiko, & pengecualian utama."
STRATEGIC CLARITY SUITE,Kit Akselerator Kebijakan (Policy Accelerator),Policy Accelerator Kit,26. Pembuatan Kebijakan (Draf Awal),"Butuh kebijakan keamanan (misal: WFH, AUP) kemarin? Kami akan membuatkan draf awal yang 80% siap pakai, ditenagai AI dan divalidasi oleh pengalaman industri."
STRATEGIC CLARITY SUITE,Dasbor-Instan (CSV-to-Dashboard Service),Instant-Dashboard (CSV-to-Dashboard),19. Pembuatan Dasbor Cepat (dari CSV),"Punya data CSV tapi tidak tahu cara memvisualisasikannya? Kirimkan kepada kami. Dalam 24 jam, kami kirim balik dasbor interaktif (HTML/PNG) yang menceritakan kisahnya."
