Kategori,Produk Jasa (Fase 1),Cara Kerja Manual (Concierge),Jalur Menuju Otomasi (Fase 2),"Patokan ""Layak Dijual"" (Fase 1)",Kenapa Dibutuhkan di Era AI/LLM,Kenapa Tdk Pakai ChatGPT Saja?
CVE & Vuln. Mgmt,1. Laporan Prioritas CVE Mingguan,"Klien email daftar aset/software. Anda jalankan LLM_CVE_Analyzer untuk CVE baru, filter yang relevan, buat PDF prioritas, kirim balik.","Alat web: Klien mengunggah daftar aset (CSV), skrip berjalan & menghasilkan dasbor/laporan yang dapat diunduh.","Saat skrip LLM_CVE_Analyzer Anda bisa memfilter CVE berdasarkan kata kunci (misal: ""Java"", ""Windows Server"") & Anda memiliki template laporan PDF yang profesional.",AI/LLM mempercepat penemuan dan eksploitasi kerentanan. Analisis prioritas yang ditenagai LLM adalah satu-satunya cara untuk mengimbangi kecepatan ini.,"ChatGPT tidak memiliki konteks aset internal klien. Jasa Anda menggabungkan 3 hal: (1) Intelijen AI, (2) Konteks Aset Klien, (3) Data Eksternal (CISA KEV)."
CVE & Vuln. Mgmt,"2. Jasa ""Tanya CVE"" Sesuai Permintaan","Klien mengirim 1-5 CVE via chat/email. Anda jalankan LLM_CVE_Analyzer untuk ringkasan & mitigasi, lalu copy-paste jawabannya.","Bot (Slack/Discord) atau API sederhana. Klien mengetik /cve CVE-2024-XXXXX, bot langsung membalas dengan ringkasan.",Saat skrip LLM_CVE_Analyzer Anda dapat memberikan ringkasan & mitigasi yang konsisten dan akurat untuk satu CVE dalam waktu kurang dari 2 menit.,"Tim IT/Security dibanjiri noise. Jasa ini bertindak sebagai ""filter cerdas"" (LLM) untuk memberi jawaban instan, alih-alih membaca dokumentasi teknis yang panjang.",Klien membayar untuk validasi pakar (Anda). Jawaban ChatGPT bisa berhalusinasi atau terlalu umum. Jasa Anda menjamin jawaban yang divalidasi oleh analis keamanan.
CVE & Vuln. Mgmt,3. Analisis Kesenjangan Patch (Patch Gap),"Klien mengirim 2 file: (1) Hasil Pindaian Nesus/Qualys, (2) Daftar aset ter-patch. Anda jalankan Pandas_Transform untuk menemukan delta, buat laporan.","Alat web: Klien mengunggah dua file CSV, alat akan membandingkan dan menampilkan visual perbedaan & risiko.","Saat skrip Pandas_Transform Anda dapat membandingkan 2 file CSV/Excel dan mengeluarkan daftar ""Aset Belum Ter-patch"" yang akurat.",AI dapat memprediksi risiko eksploitasi. Jasa ini menyediakan data bersih (dari Pandas) yang esensial sebelum AI dapat melakukan analisis prediktif.,"ChatGPT tidak bisa memproses 2 file CSV besar atau data terstruktur secara andal. Jasa Anda adalah pemrosesan data (Pandas), bukan hanya pembuatan teks."
CVE & Vuln. Mgmt,4. Pemetaan Aset vs. Kerentanan,Klien mengirim inventaris aset. Anda memformatnya & menggunakan LLM_Analyzer untuk mencari CVE terkait yang sedang tren untuk teknologi tersebut.,"Platform mini-aset: Klien mendaftarkan aset mereka, platform secara otomatis memindai CVE baru yang relevan setiap hari.","Saat Anda bisa mengambil input (misal: ""Ubuntu 22.04"", ""FortiOS"") dan menggunakan LLM_Analyzer untuk menghasilkan daftar CVE 10 teratas yang relevan.",Inventaris aset seringkali tidak terstruktur. LLM sangat baik dalam melakukan fuzzy matching antara nama aset yang berantakan dengan database kerentanan teknis.,Privasi & Keamanan. Klien (terutama CISO) tidak akan pernah menempelkan inventaris aset internal mereka ke ChatGPT publik. Jasa Anda bertindak sebagai perantara tepercaya.
CVE & Vuln. Mgmt,"5. Laporan Relevansi ""Exploit-in-the-Wild""","Anda memantau feed (misal: CISA KEV). Saat ada yang baru, Anda cek manual ke daftar aset klien, jalankan LLM_Analyzer untuk dampaknya, kirim email alert.","Layanan langganan email: Skrip otomatis memantau CISA KEV, membandingkan dengan daftar aset klien, & mengirim email alert otomatis.",Saat Anda memiliki proses manual (bahkan checklist) untuk memantau 1-2 feed ancaman & memiliki template email alert yang siap dikirim ke klien.,Jumlah feed ancaman terlalu banyak untuk dipantau manusia. LLM dapat meringkas lusinan feed menjadi satu alert yang relevan dan dapat ditindaklanjuti.,Jasa Anda adalah alur kerja (workflow): (Monitor Feed -> Bandingkan Aset -> Analisis LLM -> Kirim Alert). ChatGPT hanya bisa melakukan 1 langkah (Analisis LLM) jika Anda memberinya data.
Threat Intel & IoC,6. Pemindaian IoC Massal Sesuai Permintaan,"Klien email file .txt berisi 1000+ IoC (IP, hash). Anda jalankan IoC_Scanner, format hasilnya (CSV), kirim balik.","Alat web: Klien mengunggah file .txt, memicu IoC_Scanner, dan mengunduh hasil CSV yang sudah bersih.","Saat skrip IoC_Scanner Anda (terhubung ke API misal: VirusTotal) dapat memproses 1000 IoC dan menghasilkan CSV ""Malicious/Clean/Unknown"" dalam < 5 menit.",Serangan modern (termasuk yang didukung AI) menggunakan IoC sekali pakai (disposable). Pemindaian cepat & massal adalah kebutuhan dasar.,"ChatGPT tidak terhubung ke API intelijen ancaman real-time (seperti VirusTotal/OTX) untuk memvalidasi 1000 IoC. Jasa Anda adalah koneksi data, bukan AI murni."
Threat Intel & IoC,7. Analisis Laporan Ancaman (Threat Report),"Klien mengirim PDF laporan (misal: dari Mandiant). Anda jalankan LLM_Analyzer untuk mengekstrak IoC & TTP, lalu jalankan IoC_Scanner pada IoC tersebut.","Alat web: Klien mengunggah PDF atau URL laporan ancaman, alat akan mengekstrak IoC + TTP dan menampilkannya.",Saat LLM_Analyzer Anda bisa mengekstrak >80% IoC dari laporan PDF & Anda punya templat ringkasan 1 halaman.,Tidak ada yang punya waktu membaca laporan 50 halaman. LLM adalah alat terbaik di dunia untuk meringkas teks tidak terstruktur (PDF) menjadi data terstruktur (IoC/TTP).,"Jasa Anda adalah alur kerja 2-langkah. ChatGPT bisa melakukan langkah 1 (ekstrak IoC, mungkin berhalusinasi). Tapi tidak bisa melakukan langkah 2 (validasi IoC tsb dgn IoC_Scanner)."
Threat Intel & IoC,8. Feed Intelijen Ancaman Terkurasi,"Setiap minggu, Anda kumpulkan IoC dari berbagai sumber, jalankan IoC_Scanner untuk validasi, format, dan email ke klien sebagai ""Intelijen Pilihan Minggu Ini"".",Layanan buletin berbayar (via Substack/Ghost) ATAU API endpoint berbayar yang selalu menyediakan daftar IoC terkurasi.,Saat Anda memiliki 3-5 sumber intelijen (bisa jadi blog/Twitter) & skrip IoC_Scanner Anda bisa memvalidasi daftar gabungan tersebut.,"LLM dapat memantau ribuan sumber (blog, sosial media) untuk menemukan IoC baru. Jasa Anda adalah ""kurator manusia + AI"" dari noise tersebut.",ChatGPT adalah model umum. Klien membayar Anda untuk kurasi dan validasi pakar. Anda menyaring 1000 IoC mentah (dari AI/sumber lain) menjadi 10 IoC berkualitas tinggi.
Threat Intel & IoC,9. Pemantauan Domain Phishing,"Klien memberi daftar domain mereka. Anda secara manual menggunakan alat (misal: dnstwist) untuk mencari variasi, lalu jalankan IoC_Scanner pada IP domain baru tsb.","Layanan SaaS: Klien memasukkan domain, skrip berjalan harian mencari variasi baru & mengirimkan alert jika ditemukan domain berbahaya.","Saat Anda memiliki 1 alat (misal: dnstwist) & dapat secara manual menjalankan IoC_Scanner pada hasilnya, lalu mengirim laporan yang bersih.",Serangan phishing yang dihasilkan AI lebih canggih & personal. Pemantauan domain proaktif (bukan reaktif) menjadi semakin penting.,Jasa Anda menggabungkan alat spesialis (dnstwist) dengan validasi data (IoC_Scanner). ChatGPT tidak memiliki alat-alat khusus ini.
Threat Intel & IoC,10. Validasi Umpan IoC Internal,"Klien mengirim feed IoC internal mereka. Anda jalankan IoC_Scanner terhadap feed publik (VirusTotal, dll) untuk validasi & pengayaan data.","API ""Pengayaan IoC"": Klien mengirim IoC ke API Anda, Anda membalas dengan JSON yang diperkaya data reputasi.",Sama seperti No. 6. Skrip IoC_Scanner Anda adalah produknya.,"Perusahaan dibanjiri IoC internal. LLM dapat memberikan ""konteks"" pada setiap IoC (misal: ""IP ini terkait grup APT X""), bukan hanya ""bersih/jahat"".",ChatGPT tidak memiliki koneksi API real-time ke puluhan feed intelijen. Jasa Anda adalah agregator data yang ditenagai oleh IoC_Scanner.
Analisis Log & Data,11. Analisis Log Phishing (per .eml),"Klien meneruskan email phishing (.eml) ke Anda. Anda ekstrak header & URL, jalankan IoC_Scanner & LLM_Analyzer untuk menentukan risiko, balas emailnya.","Alamat email ""Analyze@..."": Klien meneruskan email, sistem otomatis menganalisis & membalas dengan laporan risiko dalam 60 detik.","Saat Anda punya skrip untuk ""membongkar"" file .eml, mengekstrak URL/header, & IoC_Scanner bisa memeriksanya. Template balasan sudah siap.",Email phishing yang dihasilkan AI (GenAI) lolos dari filter tradisional. Analisis hybrid (IoC teknis + analisis teks LLM) diperlukan untuk menangkapnya.,Jasa Anda adalah alur kerja hybrid: (1) Analisis Teknis (IoC_Scanner pada header/URL) + (2) Analisis Teks (LLM_Analyzer pada isi). ChatGPT hanya bisa melakukan langkah 2.
Analisis Log & Data,12. Analisis Log VPN/Akses Jarak Jauh,"Klien mengirim CSV log VPN mingguan. Anda jalankan Pandas_Transform untuk mencari anomali (login di jam aneh, multi-geo), buat PDF, kirim balik.","Alat web: Klien mengunggah CSV log, alat langsung menampilkan visualisasi & daftar ""Login Mencurigakan"".","Saat skrip Pandas_Transform Anda dapat mengimpor CSV & mengeluarkan daftar ""5 Login Paling Mencurigakan"" (misal: beda negara < 1 jam).","Volume data log terlalu besar untuk dianalisis manual. Pandas adalah alat pra-pemrosesan data, dan LLM dapat menganalisis pola perilaku yang ditemukan.","Privasi & Skala. Klien tidak akan mengunggah log VPN internal (sangat sensitif) ke ChatGPT. Plus, ChatGPT tidak bisa memproses file CSV 1GB. Jasa Anda bisa."
Analisis Log & Data,13. Analisis Log Firewall (Pencarian Anomali),"Klien mengirim CSV log firewall (misal: 5GB). Anda jalankan Pandas_Transform untuk mencari port-scanning, beaconing, atau koneksi ke IP jahat.","Seperti Fase 2 sebelumnya, tapi spesifik untuk log firewall. Fokus pada visualisasi (Data_Visualization).","Saat Pandas_Transform Anda bisa memproses file 1GB & mencari 3-5 pola dasar (misal: 'Top 10 IP Ditolak', 'Koneksi ke IP di Blacklist').","Sama seperti No. 12. Volume data (data velocity) terlalu tinggi. Perusahaan butuh ""filter"" (Pandas) sebelum data mentah bisa dianalisis oleh AI yang mahal.",Privasi & Skala. Sama seperti No. 12. Tidak ada CISO yang akan mengunggah log firewall 5GB mereka ke AI publik. Jasa Anda adalah private box (Pandas).
Analisis Log & Data,14. Analisis Log DNS,Klien mengirim CSV log DNS. Anda jalankan Pandas_Transform untuk mencari pola DGA (Domain Generation Algorithm) atau koneksi ke sinkhole.,"Alat web: Unggah log DNS, dapatkan laporan ""Aktivitas DNS Mencurigakan"" dengan skor risiko.","Saat Pandas_Transform Anda bisa menghitung ""entropi"" nama domain atau mencari ""Top 20 Domain Paling Banyak Dikueri"" dari CSV.",Serangan modern (C2) menggunakan DGA yang canggih. LLM dapat dilatih untuk mendeteksi pola DGA yang lebih halus daripada algoritma statistik biasa.,"Privasi & Skala. Sama seperti No. 12. Log DNS adalah data yang sangat sensitif. Jasa Anda adalah alat analitik data (Pandas), bukan chatbot."
Analisis Log & Data,15. Jasa Pembersihan & Normalisasi Log,Klien mengirim log dalam 3 format berbeda. Anda tulis skrip Pandas_Transform kustom untuk membersihkan & menormalkannya menjadi 1 format CSV.,"Alat web: Klien unggah file, pilih ""tipe log"" (misal: Fortinet, Palo Alto), alat akan mengonversi ke format standar (misal: ECS).",Saat Anda berhasil membuat 1 skrip Pandas_Transform untuk 1 format log populer (misal: Fortinet) dan mengubahnya ke CSV standar.,"Data bersih adalah syarat mutlak untuk AI/LLM. Jasa ini sangat krusial; Anda menjual ""sekop di era demam emas AI"". Anda membersihkan data agar bisa dipakai AI.","Ini adalah jasa ""sebelum AI"". ChatGPT membutuhkan data bersih. Jasa Anda adalah yang membersihkan data tersebut. Anda adalah enabler bagi AI, bukan pesaingnya."
Analisis Log & Data,"16. Jasa ""Data Storytelling"" Keamanan","Klien memberi Anda data mentah & pertanyaan (misal: ""Apakah bot menyerang kita?""). Anda gunakan Pandas & Data_Visualization untuk membuat 3-5 slide PPT yang menjawab.","Alat web: Unggah CSV, tulis pertanyaan (prompt), alat menggunakan Dashboard_Prompts_Synthesis untuk menghasilkan dasbor 1 halaman.",Saat Anda bisa mengambil CSV & menghasilkan 1-2 grafik (Data_Visualization) yang menjawab pertanyaan klien. Template PPT sudah siap.,"LLM adalah ""mesin narasi"". Jasa ini menggabungkan Pandas (fakta) dengan LLM_Analyzer (narasi) untuk menciptakan laporan yang bisa dimengerti eksekutif.",Jasa Anda adalah alur kerja (Pandas -> Visualisasi -> LLM). ChatGPT tidak bisa menjalankan Pandas untuk menganalisis data mentah atau membuat grafik (Data_Visualization).
