Kategori Risiko,CVE Contoh,"Risiko Residual (setelah workaround, sebelum patch)",Rekomendasi Mitigasi Tambahan
Elevation of Privilege (Local),CVE-2024-49039 (Windows Error Reporting),"Sedang-Tinggi: workaround mengurangi kemungkinan eskalasi hak lokal, tetapi host tetap berisiko jika attacker lokal mencoba eksploitasi lain","Batasi akun lokal, isolasi host WER (VLAN), EDR rule khusus, prioritaskan patch host kritis"
Client-side / Document RCE,CVE-2024-38144 (MSHTML),"Tinggi: nonaktifasi MSHTML/script blocking mengurangi peluang RCE, tetapi pengguna atau layanan yang merender dokumen berisiko","Blokir attachment berisiko, sandboxing, Group Policy ketat, monitoring event log"
Document-based RCE (Office),CVE-2024-43532 (Microsoft Word),"Sedang-Tinggi: auto-open off dan definisi Defender terbaru mengurangi risiko, namun targetted attack masih memungkinkan","Protected View, MDAC/AppLocker, user training, sandbox attachment mail gateway"
Browser-based RCE / Rendering,CVE-2025-21293 (Microsoft Edge),"Tinggi: pembatasan fitur Edge dan Group Policy mengurangi eksposur, tetapi browser tetap berisiko terhadap situs berbahaya","CSP, ekstensi keamanan, disable/limit fitur tak dipakai, URL filtering/proxy, patching cepat"
Critical - Remote Code Execution (RCE) / Penyebaran Jarak Jauh,"CVE-2025-21292, CVE-2022-22026","Meski mshta/wscript diblok dan AMSI diaktifkan (CVE-2025-21292), serangan RCE berbasis dokumen atau SMB masih bisa berhasil jika pengguna menjalankan konten berbahaya. Residual risk tinggi pada host yang belum dimitigasi atau user melakukan tindakan berisiko. Dampak: kompromi host, penyebaran lateral, pencurian data, gangguan operasional.","Terapkan network-level filtering (blokir port 445), microsegmentation, SMB signing/encryption, attachment sandboxing, exploit mitigation (DEP, ASLR, CFG), percepat inventarisasi host yang rentan dan patching."
High - Elevation of Privilege (EoP) / Lokal Eksploitasi,"CVE-2023-21674, CVE-2023-23388","Workaround membatasi jalur eksploitasi, namun jika host sudah dikompromi, EoP memungkinkan eskalasi cepat ke SYSTEM/domain. Residual risk sedang-tinggi. Dampak: eskalasi hak, persistence, akses kredensial sensitif.","Terapkan least-privilege, LAPS, EDR blocking, just-in-time privilege elevation, application allowlisting agresif, threat hunting untuk post-exploit traces."
Medium - Defense Evasion / Bypass & Operational Gaps,Semua CVE,"Workaround tergantung konfigurasi (AppLocker/WDAC, AMSI, Defender) dapat dibypass teknik evasive. Residual risk sedang jika hanya mengandalkan satu lapisan. Dampak: eksploitasi bisa berlanjut jika bypass terjadi.","Defense-in-depth: email/web filtering, EDR, NGAV, SIEM korelasi event; monitoring integratif; audit konfigurasi AppLocker/WDAC; SOC/IR tabletop exercises."
Operational - Ketersediaan & Pemeliharaan,Semua CVE,"Risiko residual operasional: keterlambatan patch rollout, change windows, dependency aplikasi dapat menyebabkan host tetap rentan lebih lama. Risiko supply-chain/paket patch gagal diuji menunda remediasi.","Prioritaskan patching berdasarkan exposure & criticality, phased rollout, contingency rollback plan, automasi patch orchestration & reporting."
Credential & Token Escalation,CVE-2022-30165 (CredSSP / Remote Credential Guard),"Sedang-Tinggi: workaround mengurangi jalur chaining dan delegasi token, tetapi host tetap rentan terhadap eskalasi jika patch belum diterapkan","Batasi akun administratif, segmentasi jaringan untuk host autentikasi, monitoring event Kerberos (4768/4769/4771), aktifkan EDR rule untuk deteksi eskalasi token"
Elevation of Privilege (Local),CVE-2023-29360 (Win32k.sys),"Tinggi: kontrol eksekusi (WDAC/AppLocker) dan monitoring event kernel mengurangi eksposur, namun exploit lokal masih memungkinkan jika patch belum dipasang","Batasi akses lokal ke host kritikal, segmentasi host, update patch segera, monitoring event kernel secara real-time"
Security Feature Bypass (Client),CVE-2023-36005 (Windows SmartScreen),"Sedang: SmartScreen disabled / MDAC membantu mitigasi, tetapi pengguna atau sistem masih bisa terpapar URL/file berbahaya jika bypass diaktifkan","Gunakan Group Policy strict untuk SmartScreen, pantau ETW log, isolasi host yang sering mengakses konten publik, dan patch segera setelah tersedia"
Network Protocol Exploit (SMB),CVE-2022-38023 (SMB Signing/SMBv1-v2),"Tinggi: segmentasi jaringan dan enforce SMB signing mengurangi risiko spoofing, namun host tetap berpotensi dieksploitasi oleh attacker internal atau lateral movement","Nonaktifkan SMBv1/v2 jika tidak digunakan, segmentasi jaringan host kritikal, firewall ketat untuk port SMB, monitoring log Event ID 4624/4625/5140"
Critical - Remote Code Execution / Penyebaran Jarak Jauh,CVE-2023-32046,"Meski Print Spooler dibatasi akses dan server di-segmentasi, RCE masih dapat terjadi jika user memiliki akses tidak sah atau patch belum diterapkan pada semua host. Dampak: eksekusi kode jarak jauh, potensi kompromi domain/print server.","Batasi akses network ke Print Spooler, gunakan firewall internal, monitoring ketat pada event log spooler, lakukan patching segera ke seluruh estate, segmentasi jaringan lebih agresif."
High - Elevation of Privilege (EoP) / Lokal Eksploitasi,"CVE-2022-33679, CVE-2023-28244, CVE-2024-49138, CVE-2023-36802","Workaround membatasi jalur eksploitasi (Kerberos Armoring, AppLocker/WDAC, pembatasan hak akses), namun jika penyerang sudah memiliki akses lokal atau RCE berhasil, EoP tetap memungkinkan eskalasi ke SYSTEM/domain. Residual risk sedang-tinggi. Dampak: eskalasi hak, persistence, akses kredensial, manipulasi tiket Kerberos.","Terapkan least-privilege ketat, review akun admin, aktifkan monitoring Kerberos event (4768, 4769, 4771), EDR dengan blocking rules, microsegmentation host kritikal, threat hunting untuk post-exploit traces."
Medium - Defense Evasion / Bypass & Operational Gaps,Semua CVE,"Workaround dapat dibypass oleh teknik evasive (DLL sideloading, living-off-the-land binaries, signed malware). Residual risk sedang jika hanya mengandalkan satu lapisan proteksi. Dampak: jika bypass terjadi, eksploitasi EoP atau RCE bisa dilanjutkan.","Defense-in-depth: gabungkan monitoring endpoint, network, identity; audit konfigurasi AppLocker/WDAC; SOC/IR tabletop exercises; integrasikan SIEM korelasi event untuk deteksi perilaku mencurigakan."
