CVE ID,Workaround,Keterangan
CVE-2024-43451,1) Segera patch November 2024; 2) Blokir outbound SMB; 3) Monitor SMB abnormal; 4) Harden GPO; 5) User awareness,Melindungi terhadap hash disclosure bahkan sebelum patch tersedia; mencegah NTLMv2 hash dikirim dan digunakan untuk lateral movement atau pass-the-hash attacks.
CVE-2025-32709,1) Pasang patch KB5034441; 2) Batasi akses lokal & aplikasi WinSock; 3) Pantau aktivitas afd.sys; 4) Enforce AppLocker/WDAC; 5) Segmentasi sistem,"Melindungi terhadap eksploitasi *use-after-free* yang sudah aktif—menutup celah, mencegah eksekusi memori kernel dan mitigasi sementara saat patch tertunda."
CVE-2025-32706,1) Patch May 2025 (KB5058411/KB5058405); 2) Batasi akses lokal & whitelisting folder CLFS; 3) Monitor EDR untuk modifikasi CLFS; 4) AppLocker/W,
CVE-2024-38060,1) Terapkan Patch Juli 2024 (KB5040436/KB5040437); 2) Nonaktifkan sementara TCP/IP Fast Path di Windows Server; 3) Gunakan IDS/IPS untuk anomali TCP; 4) Segmentasi jaringan kritis,Menutup celah RCE pada Windows TCP/IP stack dan mengurangi risiko eksploitasi sebelum patch diterapkan.
CVE-2024-30078,1) Patch Juni 2024 (KB5039212/KB5039215); 2) Nonaktifkan fitur MSMQ jika tidak digunakan; 3) Restrict firewall port 1801; 4) Pantau log event MSMQ; 5) AppLocker/WDAC,Melindungi dari RCE pada Microsoft Message Queuing; mitigasi mencegah port terbuka dieksploitasi saat patch tertunda.
CVE-2023-35641,1) Patch Agustus 2023 (KB5029244/KB5029246); 2) Disable WebClient service jika tidak diperlukan; 3) Restrict WebDAV via firewall; 4) Audit & monitoring event WebDAV,Menutup celah Elevation of Privilege di Windows WebDAV Client yang dapat digunakan untuk eskalasi hak lokal.
CVE-2024-49117,1) Patch Oktober 2024 (KB5048713/KB5048716); 2) Batasi akses user ke spoolsv.exe; 3) Disable printer sharing jika tidak perlu; 4) Segmentasi server print,"Melindungi dari RCE di Windows Print Spooler service, mencegah eksploitasi *PrintNightmare-like* sebelum patch diterapkan."
CVE-2023-38148,1) Patch Agustus 2023 (KB5029254/KB5029256); 2) Blokir akses jaringan ke Outlook (TCP 135/445/593) jika tidak diperlukan; 3) Harden registry Outlook preview pane,Menutup celah RCE di Microsoft Outlook yang dapat dieksploitasi melalui preview pane; mitigasi sementara sebelum patch dipasang.
CVE-2022-41128,1) Patch November 2022 (KB5019964/KB5019966); 2) Nonaktifkan fitur JScript di Internet Explorer jika tidak diperlukan; 3) Gunakan Microsoft Defender Exploit Guard untuk memblokir script berbahaya; 4) Batasi akses ke Internet Explorer di lingkungan enterprise,Menutup celah RCE di JScript9.dll yang dieksploitasi melalui Internet Explorer; mitigasi sementara mencegah eksekusi kode berbahaya sebelum patch diterapkan.
CVE-2023-24871,1) Patch Maret 2023 (KB5023696/KB5023702); 2) Nonaktifkan SmartScreen jika tidak diperlukan; 3) Gunakan Microsoft Defender Application Control (MDAC); 4) Pantau event terkait SmartScreen di Event Viewer,Menutup celah Security Feature Bypass di Windows SmartScreen yang memungkinkan penyerang melewati proteksi file download; mitigasi sementara sebelum patch aktif.
CVE-2022-22017,"1) Patch Juli 2022 (KB5015807/KB5015811); 2) Nonaktifkan RDP Gateway jika tidak diperlukan; 3) Segmentasi jaringan untuk membatasi akses RDP; 4) Pantau log event RDP (event ID 4625, 4624); 5) Terapkan VPN & MFA untuk akses remote",Menutup celah RCE pada Windows Remote Desktop Services (RDS) yang memungkinkan eksekusi kode dari jarak jauh; mitigasi sementara sebelum patch diterapkan.
