,CVE ID,Workaround,Keterangan,
,CVE-2023-44487,1) Terapkan patch Microsoft Juli 2023; 2) Batasi akses lokal dan nonâ€‘admin ke driver atau service yang rentan; 3) Gunakan WDAC/AppLocker untuk mencegah eksekusi kode tidak sah; 4) Monitor Event ID terkait kernel/privilege escalation; 5) Segmentasi host kritikal,"Patch resmi menutup kerentanan *Elevation of Privilege* pada Windows Kernel. Workaround membantu mengurangi risiko eksploitasi lokal sebelum patch diterapkan melalui kontrol akses, pembatasan eksekusi, dan monitoring.",
,CVE-2024-49113,1) Patch Desember 2024 (KB5048710/KB5048712); 2) Batasi akses ke layanan Windows Remote Desktop Services; 3) Nonaktifkan RDP redirection jika tidak diperlukan; 4) Implementasi firewall rule untuk port 3389; 5) Monitoring event RDP,Menutup celah Remote Code Execution di Windows Remote Desktop Services (RDS) yang memungkinkan eksekusi kode jarak jauh; mitigasi sementara sebelum patch diterapkan.,
,CVE-2024-26212,1) Pasang patch Microsoft Agustus 2024; 2) Batasi akses lokal ke service atau driver yang rentan; 3) Terapkan WDAC/AppLocker untuk kontrol eksekusi; 4) Monitor Event ID terkait privilege escalation; 5) Segmentasi host kritikal,"Patch resmi menutup kerentanan *Elevation of Privilege* pada Windows Kernel. Workaround membantu membatasi eksploitasi lokal sebelum patch diterapkan melalui pembatasan eksekusi, kontrol akses, dan monitoring.",
,CVE-2023-50868,1) Patch Desember 2023 (KB5040154/KB5040157); 2) Nonaktifkan sementara fungsi terkait Windows Print Spooler jika tidak diperlukan; 3) Batasi akses user ke spoolsv.exe; 4) Segmentasi server print; 5) Pantau event log spooler,Menutup celah Remote Code Execution di Windows Print Spooler yang dapat dieksploitasi untuk eksekusi kode jarak jauh; mitigasi sementara sebelum patch diterapkan.,
,CVE-2023-50387,1) Pasang patch Microsoft November 2023; 2) Batasi akses lokal ke driver atau service yang rentan; 3) Gunakan WDAC/AppLocker untuk kontrol eksekusi kode; 4) Monitor Event ID kernel/privilege escalation; 5) Segmentasi host kritikal,"Patch resmi menutup kerentanan *Elevation of Privilege* pada Windows Kernel. Workaround membantu membatasi eksploitasi lokal sebelum patch diterapkan dengan kontrol akses, pembatasan eksekusi, dan monitoring.",
,CVE-2024-43642,1) Patch September 2024 (KB5040451/KB5040453); 2) Batasi akses user ke layanan Windows DNS Server; 3) Gunakan firewall untuk membatasi akses ke port DNS kritis; 4) Pantau log DNS untuk aktivitas abnormal; 5) Segmentasi jaringan server DNS,Menutup celah Remote Code Execution di Windows DNS Server yang dapat dieksploitasi dari jarak jauh; mitigasi sementara sebelum patch diterapkan.,
,CVE-2024-38148,1) Pasang patch Microsoft Oktober 2024; 2) Batasi akses lokal ke driver atau service yang rentan; 3) Gunakan WDAC/AppLocker untuk kontrol eksekusi kode; 4) Monitor Event ID kernel/privilege escalation; 5) Segmentasi host kritikal,"Patch resmi menutup kerentanan *Elevation of Privilege* pada Windows Kernel. Workaround membantu membatasi eksploitasi lokal sebelum patch diterapkan melalui pembatasan eksekusi, kontrol akses, dan monitoring.",
,CVE-2023-38171,1) Patch September 2023 (KB5029262/KB5029264); 2) Batasi akses ke Microsoft Outlook preview pane; 3) Nonaktifkan fungsi eksternal untuk pratinjau dokumen; 4) Pantau log event Outlook; 5) Segmentasi server email,Menutup celah Remote Code Execution di Microsoft Outlook melalui preview pane yang dapat dieksploitasi untuk eksekusi kode jarak jauh; mitigasi sementara sebelum patch diterapkan.,
,CVE-2023-21819,1) Pasang patch Microsoft Maret 2023; 2) Batasi akses lokal ke service atau driver yang rentan; 3) Terapkan WDAC/AppLocker untuk kontrol eksekusi kode; 4) Monitor Event ID kernel/privilege escalation; 5) Segmentasi host kritikal,"Patch resmi menutup kerentanan *Elevation of Privilege* pada Windows Kernel. Workaround membantu membatasi eksploitasi lokal sebelum patch diterapkan melalui pembatasan eksekusi, kontrol akses, dan monitoring.",
,CVE-2023-21819,1) Pasang patch Microsoft Maret 2023; 2) Batasi akses lokal ke service atau driver yang rentan; 3) Terapkan WDAC/AppLocker untuk kontrol eksekusi kode; 4) Monitor Event ID kernel/privilege escalation; 5) Segmentasi host kritikal,"Patch resmi menutup kerentanan *Elevation of Privilege* pada Windows Kernel. Workaround membantu membatasi eksploitasi lokal sebelum patch diterapkan melalui pembatasan eksekusi, kontrol akses, dan monitoring.",
,CVE-2022-41058,1) Patch November 2022 (KB5029971/KB5029973); 2) Nonaktifkan sementara fungsi Windows Print Spooler jika tidak diperlukan; 3) Batasi akses user ke spoolsv.exe; 4) Segmentasi server print; 5) Pantau event log spooler,Menutup celah Remote Code Execution di Windows Print Spooler yang dapat dieksploitasi untuk eksekusi kode jarak jauh; mitigasi sementara sebelum patch diterapkan.,
,CVE-2022-35748,1) Pasang patch Microsoft Juli 2022; 2) Batasi akses lokal ke driver atau service yang rentan; 3) Gunakan WDAC/AppLocker untuk kontrol eksekusi kode; 4) Monitor Event ID kernel/privilege escalation; 5) Segmentasi host kritikal,"Patch resmi menutup kerentanan *Elevation of Privilege* pada Windows Kernel. Workaround membantu membatasi eksploitasi lokal sebelum patch diterapkan melalui pembatasan eksekusi, kontrol akses, dan monitoring.",
